AccountId,ACV_Renewal_Expiry_Date__c,ACV_Renewal_Start_Date__c,Amount,CloseDate,Errors,EXTID__c,Id,Name,Probability,StageName,Type
001Aa00001GhHtYIAV,2025-03-28,2024-03-28,37860.33,2024-03-25,,006Sb00000875nx,006Aa00000NdNEGIA3,OPP_1068,100,Closed/Won,New business
001Aa00001GhHuxIAF,,,3840,2021-02-04,,0062p000016sz22,006Aa00000NdNEHIA3,OPP_67,100,Closed/Won,New business
001Aa00001GhHuxIAF,2023-02-03,2022-02-04,2400,2022-02-04,,0062p00001GQJfT,006Aa00000NdNEIIA3,OPP_283,100,Closed/Won,Renewal
001Aa00001GhHuxIAF,2022-02-03,2021-02-04,2400,2021-02-04,,0062p00001GT6wm,006Aa00000NdNEJIA3,OPP_321,100,Closed/Won,New business
001Aa00001GhHuxIAF,2024-02-03,2023-02-04,2400,2023-02-04,,006AX000003bHlr,006Aa00000NdNEKIA3,OPP_561,100,Closed/Won,Renewal
001Aa00001GhHuxIAF,2025-02-03,2024-02-04,2400,2023-02-04,,006AX0000056FfL,006Aa00000NdNELIA3,OPP_800,0,Closed/Lost,Renewal
001Aa00001GhHuxIAF,2025-02-03,2024-02-04,2400,2024-02-04,,006AX000005Tm81,006Aa00000NdNEMIA3,OPP_875,0,Closed/Lost,Renewal
001Aa00001GhHtZIAV,,,7900,2024-11-14,,006AX000005vy91,006Aa00000NdNENIA3,OPP_928,0,Closed/Canceled,New business
001Aa00001GhHtaIAF,,,0,2026-04-15,,006AX00000625IC,006Aa00000NdNEOIA3,OPP_938,10,Demonstration,New business
001Aa00001GhHtbIAF,2022-11-30,2021-12-01,15055,2021-12-01,,0062p000012TwoW,006Aa00000NdNEPIA3,OPP_10,100,Closed/Won,Renewal
001Aa00001GhHtbIAF,2023-11-30,2022-12-01,17569,2022-10-14,,006AX000002ICem,006Aa00000NdNEQIA3,OPP_431,100,Closed/Won,Renewal
001Aa00001GhHtbIAF,2024-11-30,2023-12-01,17569,2022-10-14,,006AX0000038OjK,006Aa00000NdNERIA3,OPP_498,100,Closed/Won,Renewal
001Aa00001GhHtbIAF,2025-11-30,2024-12-01,17569,2022-10-14,,006AX0000038Ojj,006Aa00000NdNESIA3,OPP_499,100,Closed/Won,Renewal
001Aa00001GhHtbIAF,2027-12-31,2025-09-29,64514,2025-10-31,,006Sb00000Ch0Vk,006Aa00000NdNETIA3,OPP_1208,60,Proposal,Renewal
001Aa00001GhHtcIAF,,,20000,2021-03-22,,0062p000013ThJv,006Aa00000NdNEUIA3,OPP_14,0,Closed/Canceled,New business
001Aa00001GhHtcIAF,2022-11-30,2021-12-01,4300,2021-11-30,,0062p00001GQnhh,006Aa00000NdNEVIA3,OPP_304,100,Closed/Won,Renewal
001Aa00001GhHtcIAF,2022-03-31,2021-04-01,2030,2021-03-31,,0062p00001GQqD3,006Aa00000NdNEWIA3,OPP_308,100,Closed/Won,Renewal
001Aa00001GhHtcIAF,2024-11-30,2023-12-01,5409,2024-01-08,,006AX000005s99g,006Aa00000NdNEXIA3,OPP_926,100,Closed/Won,Renewal
001Aa00001GhHtcIAF,2023-11-30,2022-12-01,5409,2022-11-30,,006AX000005sAcf,006Aa00000NdNEYIA3,OPP_927,100,Closed/Won,Renewal
001Aa00001GhHtcIAF,2025-11-28,2024-11-29,5409,2024-11-15,,006Sb00000CTCdB,006Aa00000NdNEZIA3,OPP_1175,0,Closed/Canceled,Renewal
001Aa00001GhHtdIAF,,,166000,2021-07-15,,0062p00001Az6dw,006Aa00000NdNEaIAN,OPP_159,0,Closed/Lost,Cross-sell
001Aa00001GhHteIAF,2022-06-30,2021-07-01,8695,2021-11-29,,0062p00001GQnhg,006Aa00000NdNEbIAN,OPP_303,100,Closed/Won,Renewal
001Aa00001GhHteIAF,2023-06-30,2022-07-01,8695,2021-11-29,,0062p00001HyvFV,006Aa00000NdNEcIAN,OPP_334,100,Closed/Won,Renewal
001Aa00001GhHteIAF,2024-06-30,2023-07-01,8695,2021-11-29,,0062p00001HyvFa,006Aa00000NdNEdIAN,OPP_335,100,Closed/Won,Renewal
001Aa00001GhHtfIAF,,,15300,2021-01-29,,0062p000016sz0u,006Aa00000NdNEeIAN,OPP_66,0,Closed/Lost,New business
001Aa00001GhHtgIAF,,,0,2022-03-03,,0062p00001DAmj3,006Aa00000NdNEfIAN,OPP_202,0,Closed/Canceled,New business
001Aa00001GhHthIAF,2023-09-30,2022-10-01,9504,2022-09-29,,006AX000002xwfo,006Aa00000NdNEgIAN,OPP_487,100,Closed/Won,New business
001Aa00001GhHthIAF,,2022-10-01,2400,2022-09-29,,006AX000002xwqU,006Aa00000NdNEhIAN,OPP_488,100,Closed/Won,New business
001Aa00001GhHthIAF,2023-09-30,2022-10-01,640,2022-09-29,,006AX000002xwtf,006Aa00000NdNEiIAN,OPP_489,100,Closed/Won,New business
001Aa00001GhHthIAF,2023-09-30,2022-10-01,640,2022-09-29,,006AX000002xwvy,006Aa00000NdNEjIAN,OPP_490,100,Closed/Won,New business
001Aa00001GhHthIAF,2024-09-30,2023-10-01,9117.99,2022-12-20,,006AX000004fiaY,006Aa00000NdNEkIAN,OPP_742,100,Closed/Won,Renewal
001Aa00001GhHthIAF,2025-09-30,2024-10-01,9428.34,2024-09-26,,006Sb00000A7yXz,006Aa00000NdNElIAN,OPP_1088,100,Closed/Won,Renewal
001Aa00001GhHtiIAF,2025-05-16,2024-05-17,8000,2024-05-17,,006Sb00000506Ab,006Aa00000NdNEmIAN,OPP_1013,100,Closed/Won,New business
001Aa00001GhHtiIAF,2026-05-16,2025-05-17,3770,2025-05-31,,006Sb00000GPbMX,006Aa00000NdNEnIAN,OPP_1351,90,Closing,Renewal
001Aa00001GhHuyIAF,,,4300,2022-03-18,,0062p00001JdJSh,006Aa00000NdNEoIAN,OPP_380,100,Closed/Won,New business
001Aa00001GhHtjIAF,,,2640,2024-06-30,,006Sb0000054Uaw,006Aa00000NdNEpIAN,OPP_1015,0,Closed/Canceled,New business
001Aa00001GhHtkIAF,,,7560,2024-08-30,,006Sb000005gPQX,006Aa00000NdNEqIAN,OPP_1022,0,Closed/Canceled,New business
001Aa00001GhHtlIAF,2025-11-06,2025-11-07,25000,2024-10-10,,006Sb000007Ny5w,006Aa00000NdNErIAN,OPP_1054,0,Closed/Lost,New business
001Aa00001GhHtmIAF,,,5000,2024-11-29,,006Sb000007ipPc,006Aa00000NdNEsIAN,OPP_1060,0,Closed/Canceled,New business
001Aa00001GhHtnIAF,,,2580,2024-09-30,,006Sb000008esBZ,006Aa00000NdNEtIAN,OPP_1076,0,Closed/Lost,New business
001Aa00001GhHtoIAF,,,25000,2025-05-30,,006Sb00000BBvpR,006Aa00000NdNEuIAN,OPP_1138,30,Closing,New business
001Aa00001GhHtpIAF,,,60000,2025-03-28,,006Sb00000BERMz,006Aa00000NdNEvIAN,OPP_1140,0,Closed/Canceled,New business
001Aa00001GhHtqIAF,,,7000,2025-03-28,,006Sb00000BT4BZ,006Aa00000NdNEwIAN,OPP_1149,0,Closed/Canceled,New business
001Aa00001GhHtrIAF,,,5280,2024-11-29,,006Sb00000C5HMX,006Aa00000NdNExIAN,OPP_1164,0,Closed/Lost,New business
001Aa00001GhHtsIAF,,,19000,2025-04-30,,006Sb00000EaltB,006Aa00000NdNEyIAN,OPP_1310,0,Closed/Canceled,New business
001Aa00001GhHuzIAF,,,7340,2022-03-02,,0062p00001JccL3,006Aa00000NdNEzIAN,OPP_369,100,Closed/Won,New business
001Aa00001GhHuzIAF,,,17112,2022-12-30,,0062p00001JctW7,006Aa00000NdNF0IAN,OPP_373,0,Closed/Canceled,New business
001Aa00001GhHttIAF,,,2580,2025-04-30,,006Sb00000GtUlr,006Aa00000NdNF1IAN,OPP_1361,0,Closed/Canceled,New business
001Aa00001GhHttIAF,,,1600,2025-04-30,,006Sb00000Gxkoo,006Aa00000NdNF2IAN,OPP_1367,0,Closed/Canceled,New business
001Aa00001GhHtuIAF,,,3200,2025-06-30,,006Sb00000IkVHm,006Aa00000NdNF3IAN,OPP_1383,30,Demonstration,New business
001Aa00001GhHtuIAF,,,1800,2025-06-30,,006Sb00000Iklny,006Aa00000NdNF4IAN,OPP_1384,30,Demonstration,New business
001Aa00001GhHtuIAF,,,10000,2025-06-30,,006Sb00000IknUn,006Aa00000NdNF5IAN,OPP_1385,30,Demonstration,New business
001Aa00001GhHtuIAF,,,4080,2025-06-30,,006Sb00000IkqR3,006Aa00000NdNF6IAN,OPP_1386,30,Demonstration,New business
001Aa00001GhHtvIAF,,,8162,2025-06-30,,006Sb00000IqKmf,006Aa00000NdNF7IAN,OPP_1387,30,Demonstration,New business
001Aa00001GhHtwIAF,,,5100,2022-11-18,,006AX000003JLZ1,006Aa00000NdNF8IAN,OPP_512,100,Closed/Won,Up-sell
001Aa00001GhHtxIAF,2021-12-31,2021-01-01,2110.63,2021-01-01,,0062p000015x3C6,006Aa00000NdNF9IAN,OPP_64,100,Closed/Won,Renewal
001Aa00001GhHtxIAF,2022-12-31,2022-01-01,2110.63,2022-01-01,,0062p00001DDVn4,006Aa00000NdNFAIA3,OPP_261,100,Closed/Won,Renewal
001Aa00001GhHtxIAF,2023-12-31,2023-01-01,2110.63,2023-01-01,,006AX000003a5aZ,006Aa00000NdNFBIA3,OPP_554,100,Closed/Won,Renewal
001Aa00001GhHtxIAF,2024-12-31,2024-01-01,3090.02,2023-12-21,,006AX000005VBzE,006Aa00000NdNFCIA3,OPP_885,100,Closed/Won,Renewal
001Aa00001GhHtxIAF,2025-12-31,2025-01-01,3036.01,2024-12-20,,006AX000005rlv2,006Aa00000NdNFDIA3,OPP_923,0,Closed/Lost,Renewal
001Aa00001GhHtyIAF,,,8500,2021-03-09,,0062p00001AwH5h,006Aa00000NdNFEIA3,OPP_129,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,2550,2021-03-12,,0062p00001AwbA8,006Aa00000NdNFFIA3,OPP_138,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,3400,2021-05-26,,0062p00001AwbAS,006Aa00000NdNFGIA3,OPP_139,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,3000,2022-06-13,,0062p00001AzM1a,006Aa00000NdNFHIA3,OPP_161,0,Closed/Canceled,Up-sell
001Aa00001GhHtyIAF,,,3825,2021-05-06,,0062p00001AzPJo,006Aa00000NdNFIIA3,OPP_164,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,9350,2021-06-15,,0062p00001AzRn9,006Aa00000NdNFJIA3,OPP_165,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,23375,2021-10-25,,0062p00001GQSbO,006Aa00000NdNFKIA3,OPP_287,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,3400,2021-11-19,,0062p00001GTenh,006Aa00000NdNFLIA3,OPP_330,100,Closed/Won,Cross-sell
001Aa00001GhHtyIAF,,,6800,2021-12-03,,0062p00001Hz36g,006Aa00000NdNFMIA3,OPP_337,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,6800,2021-12-06,,0062p00001Hz3SS,006Aa00000NdNFNIA3,OPP_338,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,8500,2021-12-20,,0062p00001I0Zu0,006Aa00000NdNFOIA3,OPP_347,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,5100,2022-04-29,,0062p00001JdIlJ,006Aa00000NdNFPIA3,OPP_377,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,850,2022-03-01,,0062p00001JdIlO,006Aa00000NdNFQIA3,OPP_378,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,2550,2022-03-03,,0062p00001JdJ9z,006Aa00000NdNFRIA3,OPP_379,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,10200,2022-06-13,,006AX000002J6vs,006Aa00000NdNFSIA3,OPP_433,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,37010,2022-10-14,,006AX000002rKpv,006Aa00000NdNFTIA3,OPP_476,100,Closed/Won,New business
001Aa00001GhHtyIAF,,,30000,2023-06-30,,006AX000003RpiS,006Aa00000NdNFUIA3,OPP_521,0,Closed/Canceled,Up-sell
001Aa00001GhHtyIAF,,,9900,2023-01-18,,006AX000003hbNq,006Aa00000NdNFVIA3,OPP_608,100,Closed/Won,New business
001Aa00001GhHtyIAF,,,12600,2023-06-23,,006AX000004X2Gd,006Aa00000NdNFWIA3,OPP_716,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,13360,2023-08-09,,006AX000004jSI9,006Aa00000NdNFXIA3,OPP_763,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,24200,2023-09-27,,006AX000004wQRC,006Aa00000NdNFYIA3,OPP_773,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,13200,2024-01-25,,006AX000005m6Pw,006Aa00000NdNFZIA3,OPP_916,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,24475,2024-05-30,,006AX0000067KiA,006Aa00000NdNFaIAN,OPP_954,100,Closed/Won,Up-sell
001Aa00001GhHtyIAF,,,14440,2024-04-17,,006AX00000698zw,006Aa00000NdNFbIAN,OPP_979,100,Closed/Won,Up-sell
001Aa00001GhHvjIAF,,,25000,2024-12-27,,006Sb000008T7kg,006Aa00000NdNFcIAN,OPP_1073,0,Closed/Lost,New business
001Aa00001GhHvkIAF,,,10902,2022-03-31,,0062p00001GTK7M,006Aa00000Ndab3IAB,OPP_326,0,Closed/Lost,New business
001Aa00001GhHvlIAF,,,5000,2023-03-08,,0062p00001GTeic,006Aa00000Ndab4IAB,OPP_329,0,Closed/Canceled,New business
001Aa00001GhHvlIAF,,,302976,2022-12-31,,0062p00001HyNo6,006Aa00000Ndab5IAB,OPP_331,0,Closed/Canceled,New business
001Aa00001GhHvmIAF,,,2340,2022-01-17,,0062p00001Hzy8U,006Aa00000Ndab6IAB,OPP_341,0,Closed/Lost,New business
001Aa00001GhHvnIAF,,,8572,2022-06-03,,0062p00001HzgiS,006Aa00000Ndab7IAB,OPP_340,100,Closed/Won,New business
001Aa00001GhHvnIAF,,,2850,2022-04-06,,006AX000001sEzw,006Aa00000Ndab8IAB,OPP_396,100,Closed/Won,New business
001Aa00001GhHvnIAF,,,1400,2022-08-10,,006AX000002Oarp,006Aa00000Ndab9IAB,OPP_444,100,Closed/Won,Up-sell
001Aa00001GhHvoIAF,2023-05-23,2022-05-24,9360,2022-04-06,,0062p00001I0uYg,006Aa00000NdabAIAR,OPP_353,100,Closed/Won,New business
001Aa00001GhHvoIAF,,,8770,2022-03-11,,0062p00001JdcC6,006Aa00000NdabBIAR,OPP_387,100,Closed/Won,New business
001Aa00001GhHvoIAF,2025-04-15,2024-04-14,10666.31,2024-03-11,,006AX000003bKnh,006Aa00000NdabCIAR,OPP_573,100,Closed/Won,Renewal
001Aa00001GhHvoIAF,2024-05-15,2023-04-14,9790.4,2023-02-15,,006AX000006Bj44,006Aa00000NdabDIAR,OPP_998,100,Closed/Won,Renewal
001Aa00001GhHvoIAF,2026-04-15,2025-04-14,11171.84,2025-01-17,,006Sb00000ASGIb,006Aa00000NdabEIAR,OPP_1115,100,Closed/Won,Renewal
001Aa00001GhHvpIAF,,,5000,2022-09-30,,0062p00001JcYdG,006Aa00000NdabFIAR,OPP_367,0,Closed/Canceled,New business
001Aa00001GhHvqIAF,2023-05-02,2022-05-05,5160,2022-05-03,,0062p00001JdPH6,006Aa00000NdabGIAR,OPP_383,100,Closed/Won,New business
001Aa00001GhHvqIAF,,,8770,2022-05-03,,006AX0000029Pvp,006Aa00000NdabHIAR,OPP_413,100,Closed/Won,New business
001Aa00001GhHvqIAF,2024-05-02,2023-05-05,5559.52,2022-05-03,,006AX000003bK7N,006Aa00000NdabIIAR,OPP_570,100,Closed/Won,Renewal
001Aa00001GhHvqIAF,2025-05-02,2024-05-05,3227,2024-03-04,,006AX000004ODo9,006Aa00000NdabJIAR,OPP_703,100,Closed/Won,Renewal
001Aa00001GhHvqIAF,,,2640,2023-12-13,,006AX000004zpwH,006Aa00000NdabKIAR,OPP_781,100,Closed/Won,Up-sell
001Aa00001GhHvqIAF,2026-05-02,2025-05-05,3310.57,2025-04-23,,006Sb00000ARz88,006Aa00000NdabLIAR,OPP_1106,100,Closed/Won,Renewal
001Aa00001GhHvqIAF,2027-05-02,2026-05-04,3310,2026-04-30,,006Sb00000HAc74,006Aa00000NdabMIAR,OPP_1370,70,Negociation,Renewal
001Aa00001GhHvrIAF,,,20000,2022-06-17,,0062p00001JdPLS,006Aa00000NdabNIAR,OPP_384,0,Closed/Canceled,New business
001Aa00001GhHzKIAV,,,25000,2024-12-03,,006Sb00000CYnDt,006Aa00000NdabOIAR,OPP_1176,0,Closed/Lost,New business
001Aa00001GhHuoIAF,,,5000,2025-05-30,,006Sb00000Heyjg,006Aa00000NdabPIAR,OPP_1377,40,Negociation,New business
001Aa00001GhHzLIAV,,,7000,2025-05-31,,006Sb00000CZFRu,006Aa00000NdabQIAR,OPP_1180,20,Needs Analysis,New business
001Aa00001GhHzMIAV,,,15000,2025-03-31,,006Sb00000CZFN3,006Aa00000NdabRIAR,OPP_1179,0,Closed/Canceled,New business
001Aa00001GhHzNIAV,,,25000,2025-03-31,,006Sb00000CZBJS,006Aa00000NdabSIAR,OPP_1178,0,Closed/Canceled,New business
001Aa00001GhHzOIAV,,,9600,2025-02-28,,006Sb00000CZI81,006Aa00000NdabTIAR,OPP_1181,100,Closed/Won,New business
001Aa00001GhHzOIAV,2026-03-11,2025-03-12,12690,2025-02-28,,006Sb00000GTWMg,006Aa00000NdabUIAR,OPP_1352,100,Closed/Won,New business
001Aa00001GhHzOIAV,,,12690,2026-02-27,,006Sb00000GTicL,006Aa00000NdabVIAR,OPP_1353,60,Proposal,Renewal
001Aa00001GhHzPIAV,,,30000,2025-11-28,,006Sb00000Cu4mn,006Aa00000NdabWIAR,OPP_1217,0,Closed/Canceled,New business
001Aa00001GhHzQIAV,,,15000,2025-09-30,,006Sb00000CaOeT,006Aa00000NdabXIAR,OPP_1183,10,Prospection,New business
001Aa00001GhHzRIAV,,,25000,2025-03-31,,006Sb00000CaNFP,006Aa00000NdabYIAR,OPP_1182,0,Closed/Canceled,New business
001Aa00001GhHzSIAV,,,40000,2024-12-31,,006Sb00000CaQrb,006Aa00000NdabZIAR,OPP_1184,0,Closed/Canceled,New business
001Aa00001GhHzTIAV,,,15000,2025-03-28,,006Sb00000CabAD,006Aa00000NdabaIAB,OPP_1190,0,Closed/Canceled,New business
001Aa00001GhHzUIAV,,,8000,2025-02-28,,006Sb00000CaWs5,006Aa00000NdabbIAB,OPP_1185,0,Closed/Canceled,New business
001Aa00001GhHupIAF,,,2400,2021-09-13,,0062p000016ujJI,006Aa00000NdabcIAB,OPP_76,0,Closed/Canceled,Up-sell
001Aa00001GhHzVIAV,,,15000,2025-06-30,,006Sb00000CaXUq,006Aa00000NdabdIAB,OPP_1186,20,Demonstration,New business
001Aa00001GhHzWIAV,,,5000,2025-05-30,,006Sb00000CadLh,006Aa00000NdabeIAB,OPP_1192,0,Closed/Canceled,New business
001Aa00001GhHzXIAV,,,25000,2025-04-30,,006Sb00000CaZGT,006Aa00000NdabfIAB,OPP_1187,0,Closed/Canceled,New business
001Aa00001GhHzYIAV,,,2500,2024-11-29,,006Sb00000CaaSi,006Aa00000NdabgIAB,OPP_1188,0,Closed/Canceled,New business
001Aa00001GhHzZIAV,,,20000,2025-09-26,,006Sb00000Caam1,006Aa00000NdabhIAB,OPP_1189,20,Needs Analysis,New business
001Aa00001GhHzaIAF,,,25000,2025-05-31,,006Sb00000CabOj,006Aa00000NdabiIAB,OPP_1191,0,Prospection,New business
001Aa00001GhHzbIAF,,,0,2025-12-31,,006Sb00000Casnn,006Aa00000NdabjIAB,OPP_1196,10,Demonstration,New business
001Aa00001GhHzcIAF,,,5000,2025-05-31,,006Sb00000Cb2tZ,006Aa00000NdabkIAB,OPP_1198,20,Needs Analysis,New business
001Aa00001GhHzdIAF,,,15000,2025-04-30,,006Sb00000Caiq1,006Aa00000NdablIAB,OPP_1195,0,Closed/Canceled,New business
001Aa00001GhHzeIAF,,,1500,2025-02-28,,006Sb00000CahAn,006Aa00000NdabmIAB,OPP_1193,0,Closed/Canceled,New business
001Aa00001GhHuqIAF,2021-12-31,2021-01-01,16200,2021-01-01,,0062p000015vbD2,006Aa00000NdabnIAB,OPP_30,100,Closed/Won,Renewal
001Aa00001GhHuqIAF,2022-12-31,2022-01-01,19550,2022-01-01,,0062p00001DDVny,006Aa00000NdaboIAB,OPP_265,100,Closed/Won,Renewal
001Aa00001GhHuqIAF,2023-12-31,2023-01-01,23864.68,2023-01-01,,006AX000003ZXxQ,006Aa00000NdabpIAB,OPP_550,100,Closed/Won,Renewal
001Aa00001GhHuqIAF,,,3080,2024-01-15,,006AX000004jLo8,006Aa00000NdabqIAB,OPP_760,100,Closed/Won,Up-sell
001Aa00001GhHuqIAF,2024-12-31,2024-01-01,24899.74,2023-12-13,,006AX000004jM6x,006Aa00000NdabrIAB,OPP_761,100,Closed/Won,Renewal
001Aa00001GhHuqIAF,,,2200,2024-02-01,,006AX000005xsaq,006Aa00000NdabsIAB,OPP_930,100,Closed/Won,Up-sell
001Aa00001GhHuqIAF,,,2200,2024-02-01,,006AX000005xsh7,006Aa00000NdabtIAB,OPP_931,100,Closed/Won,Up-sell
001Aa00001GhHuqIAF,,,27111.25,2024-03-07,,006Sb000006rshx,006Aa00000NdabuIAB,OPP_1041,100,Closed/Won,Up-sell
001Aa00001GhHuqIAF,2025-12-31,2025-01-01,31518,2024-10-17,,006Sb000008zHfF,006Aa00000NdabvIAB,OPP_1079,100,Closed/Won,Renewal
001Aa00001GhHuqIAF,2026-12-31,2026-01-01,31518,2025-10-17,,006Sb00000D2kSH,006Aa00000NdabwIAB,OPP_1246,60,Proposal,Renewal
001Aa00001GhHzfIAF,,,10000,2025-06-30,,006Sb00000CaiJl,006Aa00000NdabxIAB,OPP_1194,10,Prospection,New business
001Aa00001GhHzgIAF,2026-03-02,2025-03-03,18465,2025-09-01,,006Sb00000Cb6yo,006Aa00000NdabyIAB,OPP_1199,20,Needs Analysis,New business
001Aa00001GhHzgIAF,2025-12-31,2025-01-31,600,2025-09-01,,006Sb00000DbYjD,006Aa00000NdabzIAB,OPP_1290,20,Needs Analysis,New business
001Aa00001GhHzgIAF,2025-12-31,2025-01-31,600,2025-09-01,,006Sb00000DbgYf,006Aa00000Ndac0IAB,OPP_1291,20,Needs Analysis,New business
001Aa00001GhHzgIAF,2025-12-31,2025-01-31,1200,2025-09-01,,006Sb00000Dbh1h,006Aa00000Ndac1IAB,OPP_1292,20,Needs Analysis,New business
001Aa00001GhHzhIAF,,,1300,2024-12-31,,006Sb00000Cb1xV,006Aa00000Ndac2IAB,OPP_1197,0,Closed/Canceled,New business
001Aa00001GhHziIAF,,,20000,2025-02-28,,006Sb00000CbBGz,006Aa00000Ndac3IAB,OPP_1200,0,Closed/Lost,New business
001Aa00001GhHzjIAF,,,0,2025-06-30,,006Sb00000Cbxwg,006Aa00000Ndac4IAB,OPP_1201,0,Closed/Canceled,New business
001Aa00001GhHzkIAF,,,0,2025-06-30,,006Sb00000CdmAj,006Aa00000Ndac5IAB,OPP_1203,0,Prospection,New business
001Aa00001GhHzlIAF,2025-12-08,2024-12-09,4680,2024-12-06,,006Sb00000Cv3yN,006Aa00000Ndac6IAB,OPP_1218,100,Closed/Won,New business
001Aa00001GhHzlIAF,2025-12-08,2024-12-09,1000,2024-12-06,,006Sb00000DSNGk,006Aa00000Ndac7IAB,OPP_1287,100,Closed/Won,New business
001Aa00001GhHzlIAF,2025-12-08,2024-12-09,2250,2024-12-06,,006Sb00000DSP42,006Aa00000Ndac8IAB,OPP_1288,100,Closed/Won,New business
001Aa00001GhHzlIAF,2025-03-31,2024-12-09,1560,2024-12-06,,006Sb00000Hcm9t,006Aa00000Ndac9IAB,OPP_1376,100,Closed/Won,New business
001Aa00001GhHzmIAF,,,25000,2025-04-01,,006Sb00000FLl0E,006Aa00000NdacAIAR,OPP_1342,0,Closed/Lost,New business
001Aa00001GhHznIAF,,,10000,2025-05-30,,006Sb00000D7q5s,006Aa00000NdacBIAR,OPP_1264,30,Demonstration,New business
001Aa00001GhHzoIAF,,,0,2025-05-31,,006Sb00000DRG2n,006Aa00000NdacCIAR,OPP_1286,20,Needs Analysis,New business
001Aa00001GhHurIAF,2021-12-31,2021-01-01,43105.71,2021-06-15,,0062p000015vbD1,006Aa00000NdacDIAR,OPP_29,100,Closed/Won,Renewal
001Aa00001GhHurIAF,,,4000,2021-03-22,,0062p000018dkkg,006Aa00000NdacEIAR,OPP_112,0,Closed/Canceled,Up-sell
001Aa00001GhHurIAF,,,20000,2021-04-01,,0062p000018dklA,006Aa00000NdacFIAR,OPP_113,0,Closed/Canceled,Up-sell
001Aa00001GhHurIAF,,,12000,2021-04-01,,0062p000018fJ4O,006Aa00000NdacGIAR,OPP_119,0,Closed/Canceled,Up-sell
001Aa00001GhHurIAF,2022-12-31,2022-01-01,2000,2021-12-15,,0062p00001GQXpk,006Aa00000NdacHIAR,OPP_295,0,Closed/Lost,Renewal
001Aa00001GhHurIAF,2022-12-31,2022-01-01,43000,2021-12-15,,0062p00001GQq45,006Aa00000NdacIIAR,OPP_306,0,Closed/Lost,Renewal
001Aa00001GhHurIAF,2022-03-31,2022-01-01,17000,2021-12-17,,0062p00001I0SIZ,006Aa00000NdacJIAR,OPP_346,0,Closed/Lost,New business
001Aa00001GhHzpIAF,,,10000,2025-04-30,,006Sb00000DDJGf,006Aa00000NdacKIAR,OPP_1270,0,Closed/Lost,New business
001Aa00001GhHzqIAF,,,0,2024-12-31,,006Sb00000DW4tt,006Aa00000NdacLIAR,OPP_1289,10,Prospection,
